,Lable1,Lable2,MFCC,chromogram,melspectrogram,tonnetz
0,Kitchen ka Bulb off karo,Bulb,-13.566445334521058,0.36286052978413125,0.18115526133996496,[0.         0.         0.         ... 0.00084101 0.00093222 0.00084536]
1,Garage ki Light on karo,Bulb,-13.563947750056084,0.37435545638536655,1.7869494439713687,"[ 0.          0.          0.         ... -0.00573735 -0.00569202
 -0.00579261]"
2,Washroom ka Bulb off karo,Bulb,-17.413773518057276,0.38458536217223654,0.10729845462229512,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0395747e-04 7.7596538e-05
 2.1563345e-04]"
3,Garage ki Light jalao,Bulb,-26.022346417452813,0.2982212694478368,0.4485686613573481,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.4795924e-07
 -2.9089566e-07 -2.0124024e-07]"
4,Garage ki Light band karo,Bulb,-16.718997260403288,0.3231722222826084,0.9041203090972916,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.4596013e-05 3.7009188e-05
 1.9582925e-05]"
5,Bedroom ka Bulb on karo,Bulb,-5.907464428533504,0.5082543850035406,4.961016555629131,"[ 1.7255907e-04  1.8814587e-04  1.2724689e-04 ... -1.2722636e-05
 -4.1048173e-05 -7.6013566e-06]"
6,Kitchen ka Bulb band karo,Bulb,-14.132342447830355,0.3670971267495531,2.7951340248465835,[0.         0.         0.         ... 0.00011261 0.0001211  0.00013493]
7,Washroom ki Light jalao,Bulb,-12.977033982513456,0.4082368369789197,2.314435343215248,[0.         0.         0.         ... 0.00079413 0.00097792 0.00087183]
8,Bathroom ka Bulb band karo,Bulb,-15.181289132740348,0.4264812317652783,0.02013629074038686,"[-1.7489594e-06 -2.0097002e-06 -2.6864438e-06 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]"
9,Garage ki Light off karo,Bulb,-15.017721047148155,0.40010910046310555,0.06349043545789224,"[-6.4053395e-08  5.2621370e-08  5.3801617e-08 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]"
10,Kitchen ka Bulb jalao,Bulb,-14.732879777416587,0.44862403046051486,0.4261063198410857,"[ 0.          0.          0.         ... -0.01951262 -0.01955053
 -0.01959082]"
11,Washroom ka Bulb band karo,Bulb,-16.051764865628872,0.43057316555314445,0.25846392187772,"[ 0.          0.          0.         ... -0.00034092 -0.00057716
 -0.00071856]"
12,Kitchen ka Bulb off karo,Bulb,-3.5708104108145085,0.4093378042811234,4.45113320426622,[0.00015525 0.0002569  0.00016125 ... 0.00099909 0.00140192 0.00136303]
13,Bethaq ki Light on karo,Bulb,-21.052242412915135,0.321507350618386,0.18568555067555487,[0.         0.         0.         ... 0.00088508 0.00070396 0.00064497]
14,Garage ka Bulb jalao,Bulb,-13.469524858208493,0.38158238240954545,1.1429273630094674,[0. 0. 0. ... 0. 0. 0.]
15,Garage ka Bulb band karo,Bulb,-11.167080571214719,0.465156537544377,1.39152688892262,"[ 2.2896370e-06  1.4089250e-06  2.1526891e-06 ... -9.9846318e-07
 -4.9886967e-07  4.4117306e-07]"
16,Bathroom ka Bulb jalao,Bulb,-20.07486588223797,0.47999494266021403,0.57784044528059,[0. 0. 0. ... 0. 0. 0.]
17,Kitchen ki Light jalao,Bulb,-7.356832400234226,0.6390014179472631,0.10201394628406327,"[3.0079782e-06 7.0406345e-06 5.5035810e-07 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]"
18,Garage ka Bulb on karo,Bulb,-11.954648243048984,0.47186748722257715,3.6116974343744253,"[-1.5629269e-08  5.3751732e-09 -3.3222818e-09 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]"
19,Bedroom ki Light band karo,Bulb,-14.018991661950823,0.412548473213379,1.7512595747838435,[0.         0.         0.         ... 0.00039471 0.00070543 0.00081497]
20,Lounge ka Bulb jalao,Bulb,-13.743206656259817,0.5991339340158436,0.06770032252735764,"[ 1.5728736e-09  1.3035297e-08 -2.1819877e-08 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]"
21,Bedroom ka Bulb on karo,Bulb,-12.268857873029015,0.5363155609882512,0.7491086219793283,"[ 3.1697479e-04  3.3177517e-04  3.3198184e-04 ... -5.7353458e-07
  4.9188320e-06  5.9534786e-06]"
22,Bedroom ki Light band karo,Bulb,-8.79878402806736,0.5666726232277434,0.07935333996897471,"[3.0192150e-06 2.1723629e-06 1.5251766e-06 ... 1.5731974e-04 5.9336668e-05
 9.7325904e-04]"
23,Bedroom ki Light jalao,Bulb,-10.263316035587543,0.44235102081744326,3.120183381212338,"[6.7454880e-06 8.1023281e-06 1.0250629e-05 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]"
